Cycle Nr.,1,2,3
Time [s],0,221.5,442.9
Temp. [°C],37.1,37.1,37
A1,136,137,138
A2,128,130,133
A3,127,130,127
A4,132,135,133
A5,127,128,133
A6,131,133,130
A7,130,133,132
A8,130,134,134
A9,136,137,135
A10,134,139,135
A11,135,136,137
A12,136,136,137
B1,129,131,130
B2,357,356,351
B3,466,552,550
B4,697,955,958
B5,649,914,929
B6,661,961,966
B7,819,1243,1234
B8,768,1169,1172
B9,812,1243,1240
B10,438,610,608
B11,139,149,152
B12,134,133,134
C1,129,129,129
C2,456,634,627
C3,1191,2108,2087
C4,1198,2089,2076
C5,179,265,273
C6,175,271,274
C7,177,275,275
C8,178,271,273
C9,246,412,407
C10,253,411,409
C11,126,153,152
C12,137,138,139
D1,130,129,131
D2,297,427,421
D3,265,419,413
D4,414,724,753
D5,362,544,674
D6,437,732,847
D7,480,858,890
D8,215,339,343
D9,214,346,340
D10,218,359,353
D11,145,183,180
D12,143,147,144
E1,131,131,134
E2,250,355,353
E3,168,238,238
E4,160,222,234
E5,166,217,242
E6,168,242,265
E7,759,1427,1456
E8,812,1499,1491
E9,843,1528,1516
E10,847,1520,1503
E11,170,223,220
E12,134,137,136
F1,131,131,131
F2,124,147,148
F3,115,143,144
F4,117,150,146
F5,111,148,145
F6,335,572,580
F7,360,634,619
F8,354,577,571
F9,396,652,646
F10,148,199,202
F11,224,294,297
F12,133,137,135
G1,134,134,134
G2,219,277,277
G3,149,190,189
G4,200,273,273
G5,881,1420,1400
G6,837,1361,1360
G7,850,1347,1341
G8,940,1442,1435
G9,123,148,151
G10,132,154,154
G11,162,177,179
G12,134,136,134
H1,131,134,133
H2,128,131,130
H3,130,134,132
H4,132,134,135
H5,131,131,131
H6,131,134,137
H7,131,133,137
H8,130,132,133
H9,133,135,135
H10,133,136,136
H11,133,138,138
H12,133,134,136