well,interaction,phage,timepoint
A1,none,none,none
A2,none,none,none
A3,none,none,none
A4,none,none,none
A5,none,none,none
A6,none,none,none
A7,none,none,none
A8,none,none,none
A9,none,none,none
A10,none,none,none
A11,none,none,none
A12,none,none,none
B1,none,none,none
B2,Smono,none,none
B3,Smono,none,none
B4,Comp,none,none
B5,Comp,none,none
B6,Fac,none,none
B7,Fac,none,none
B8,Emono,none,none
B9,Emono,none,none
B10,none,none,none
B11,none,none,none
B12,none,none,none
C1,none,none,none
C2,Smono,Phi,none
C3,Smono,Phi,none
C4,Smono,Phi,none
C5,Comp,Phi,none
C6,Comp,Phi,none
C7,Comp,Phi,none
C8,Fac,Phi,none
C9,Fac,Phi,none
C10,Fac,Phi,none
C11,none,none,none
C12,none,none,none
D1,none,none,none
D2,Smono,P22,none
D3,Smono,P22,none
D4,Smono,P22,none
D5,Comp,P22,none
D6,Comp,P22,none
D7,Comp,P22,none
D8,Fac,P22,none
D9,Fac,P22,none
D10,Fac,P22,none
D11,none,none,none
D12,none,none,none
E1,none,none,none
E2,Smono,Phi + P22,none
E3,Smono,Phi + P22,none
E4,Smono,Phi + P22,none
E5,Comp,Phi + P22,none
E6,Comp,Phi + P22,none
E7,Comp,Phi + P22,none
E8,Fac,Phi + P22,none
E9,Fac,Phi + P22,none
E10,Fac,Phi + P22,none
E11,none,none,none
E12,none,none,none
F1,none,none,none
F2,none,Phi,24
F3,none,Phi,24
F4,none,Phi,24
F5,none,P22,24
F6,none,P22,24
F7,none,P22,24
F8,none,Phi + P22,24
F9,none,Phi + P22,24
F10,none,Phi + P22,24
F11,none,none,none
F12,none,none,none
G1,none,none,none
G2,none,Phi,48
G3,none,Phi,48
G4,none,Phi,48
G5,none,P22,48
G6,none,P22,48
G7,none,P22,48
G8,none,Phi + P22,48
G9,none,Phi + P22,48
G10,none,Phi + P22,48
G11,none,none,none
G12,none,none,none
H1,none,none,none
H2,none,none,none
H3,none,none,none
H4,none,none,none
H5,none,none,none
H6,none,none,none
H7,none,none,none
H8,none,none,none
H9,none,none,none
H10,none,none,none
H11,none,none,none
H12,none,none,none